date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2018-03-28,10:29:57.42,24.6457,121.9750,63.65,4.92,99,12.40,67,0.24,0.20,0.20,F,283,B
2018-03-29,00:17:50.31,24.0042,121.0147,11.08,5.00,99,5.90,14,0.31,0.10,0.10,F,299,B
2018-04-01,16:02:04.20,23.8180,120.8453,29.55,4.51,99,9.50,18,0.35,0.10,0.10,F,356,B
2018-04-06,03:54:02.10,21.0723,121.9528,176.26,4.21,76,109.80,304,0.45,0.80,0.50,F,127,D
2018-04-06,18:31:46.43,21.5402,121.0322,43.74,4.06,99,49.60,208,0.47,0.20,0.20,F,232,D
2018-04-11,07:39:29.60,22.7183,121.6718,24.75,4.55,99,21.30,141,0.44,0.20,0.30,F,336,C
2018-04-15,14:11:57.43,23.3580,120.6782,5.00,4.13,99,8.10,18,0.36,0.10,0.10,F,332,C
2018-04-16,13:48:59.50,23.0557,121.3423,18.96,4.86,99,5.60,101,0.36,0.10,0.10,F,331,C
2018-04-17,20:02:29.40,23.4193,120.5155,12.45,4.02,99,9.30,19,0.32,0.10,0.10,F,344,B
2018-04-19,02:46:52.74,24.2363,121.7872,16.80,4.27,99,8.80,79,0.38,0.10,0.10,F,326,B
2018-04-20,05:25:06.54,24.3652,122.3708,70.59,4.74,99,16.60,113,0.38,0.20,0.20,F,346,C
2018-04-20,18:27:57.98,24.7542,122.5855,98.26,4.51,99,53.00,160,0.33,0.30,0.20,F,199,D
2018-04-21,10:56:54.59,23.0127,121.6987,24.19,4.70,99,34.60,125,0.40,0.20,0.20,F,358,C
2018-04-23,17:10:32.96,24.0038,122.4313,25.36,5.01,99,17.40,144,0.50,0.20,0.10,F,271,C
2018-04-23,18:05:35.34,24.6580,122.5625,103.44,4.07,99,49.50,143,0.32,0.30,0.30,F,253,C
2018-04-26,03:12:44.95,22.3635,121.0192,10.39,4.25,99,11.90,76,0.43,0.10,0.10,F,307,C
2018-04-26,05:44:20.78,22.3615,121.0467,3.70,4.62,99,14.70,83,0.76,0.60,0.50,F,323,C
2018-04-26,05:46:41.50,22.3413,121.0653,5.00,4.58,99,16.70,83,0.85,0.60,0.80,X,324,C
2018-04-27,05:55:53.79,22.3377,120.9943,11.91,4.59,99,9.50,71,0.43,0.10,0.10,F,167,B
2018-04-29,07:02:37.97,22.3630,120.9997,12.10,4.43,99,9.90,82,0.31,0.10,0.10,F,186,B
2018-05-01,16:47:29.15,24.4828,122.0642,59.90,4.38,99,9.60,89,0.38,0.20,0.10,F,338,B
2018-05-01,23:47:04.88,24.0180,122.3617,24.75,5.59,99,12.30,149,0.43,0.20,0.10,F,348,C
2018-05-01,23:49:23.71,24.0020,122.2637,18.28,4.00,7,14.30,256,0.31,1.80,1.60,F,14,D
2018-05-03,22:19:44.27,23.1392,120.4953,14.60,4.18,99,6.10,32,0.27,0.10,0.10,F,245,B
