date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-05-12,17:30:22,23.2118,121.4742,30.28,4.78,99,11.8,87,0.35,0.2,0.2,F,311,B
2023-05-13,21:38:03,23.954,122.5425,26.38,4.21,99,29.5,156,0.39,0.2,0.1,F,329,C
2023-05-15,18:34:10,24.0562,121.5243,17.93,4.04,99,8.6,33,0.24,0.1,0.1,F,331,B
2023-05-17,23:03:16,22.8955,121.6275,15.9,4.08,99,29.4,92,0.31,0.1,0.2,F,258,C
2023-05-23,9:00:08,23.972,122.5523,27.96,4.7,99,29.1,155,0.45,0.3,0.1,F,264,C
2023-05-23,11:51:15,23.9442,122.5337,28.64,4.09,99,29.5,156,0.38,0.2,0.1,F,281,C
2023-05-25,13:48:29,21.1043,121.9987,35.65,5.34,83,67.6,287,0.61,0.5,0.4,F,92,D
2023-05-26,12:41:58,24.5488,122.6745,96.96,4.67,99,34.6,136,0.32,0.2,0.2,F,328,C
2023-05-26,19:56:18,23.9035,121.6782,25.73,4.18,99,7.7,82,0.37,0.2,0.1,F,284,B
2023-05-28,20:38:58,24.6682,122.1223,6.02,4.05,99,26.5,99,0.37,0.1,0.2,F,250,C
2023-05-29,16:27:40,24.0693,121.6612,27.8,4.07,99,5.9,53,0.36,0.1,0.1,F,282,B
2023-05-29,19:06:23,23.4457,121.5023,28.31,4.21,99,9.5,104,0.32,0.1,0.2,F,282,C
2023-05-31,10:48:03,22.3535,121.143,32.16,4.42,99,24.5,77,0.41,0.1,0.2,F,236,B
2023-05-31,19:43:44,23.7053,122.0385,39.77,4.39,99,49.3,126,0.37,0.2,0.3,F,325,C
2023-06-01,1:18:32,24.0505,122.5143,28.2,4.34,99,21.5,150,0.38,0.2,0.1,F,245,C
2023-06-02,9:48:44,24.3103,122.0993,34.35,4.72,99,12.4,62,0.46,0.3,0.4,F,293,B
2023-06-09,13:58:07,22.869,120.662,17.2,4.19,99,13.9,18,0.32,0.1,0.1,F,313,B
2023-06-09,19:51:03,22.8683,120.6653,17.08,4.31,99,14,18,0.3,0.1,0.1,F,324,B
2023-06-10,5:26:03,22.8605,120.6668,17.14,4.33,99,13.2,16,0.31,0.1,0.1,F,315,B
2023-06-10,5:31:53,22.8562,120.6553,18.34,5.49,99,12.5,16,0.28,0.1,0.1,F,341,B
2023-06-10,8:36:14,23.8117,121.583,27,4.38,99,3.4,84,0.31,0.1,0.1,F,312,B
2023-06-10,9:12:34,22.8717,120.6443,15.99,5.07,99,13.5,15,0.33,0.1,0.1,F,320,B
2023-06-11,0:50:47,24.0158,122.3365,25.74,4.13,99,11.8,135,0.4,0.3,0.2,F,320,C
2023-06-11,12:25:39,24.2147,122.492,46.82,5.52,99,20.5,110,0.27,0.2,0.1,F,350,B
2023-06-12,12:40:57,24.2013,122.2653,33.82,4.35,99,10,81,0.34,0.2,0.1,F,316,B
2023-06-12,17:34:30,24.9238,122.4532,20.16,4.15,99,47.2,151,0.37,0.3,0.5,F,243,C
2023-06-13,23:56:14,24.9237,122.441,17.28,4.66,99,46,165,0.46,0.2,0.4,F,225,C
2023-06-14,0:28:36,24.9125,122.4298,20.94,4.12,99,45.1,163,0.34,0.2,0.3,F,199,C
2023-06-14,16:50:32,24.8978,122.4555,14.61,4.09,99,48.1,156,0.35,0.4,0.3,F,218,C
2023-06-14,23:58:58,23.5645,121.55,29.84,4.83,99,15.1,66,0.3,0.1,0.1,F,294,B
2023-06-17,1:47:29,23.2647,121.2405,17.03,4.4,99,9.1,65,0.4,0.1,0.2,F,269,B
2023-06-17,6:09:34,23.2643,121.2405,17.67,4.2,99,9.1,65,0.36,0.1,0.1,F,281,B
2023-06-21,10:55:43,24.2907,121.7792,60.45,4.17,99,3.6,52,0.29,0.2,0.1,F,290,B
2023-06-22,6:04:07,23.9028,121.7205,22.05,4.54,99,12.1,72,0.41,0.2,0.1,F,300,B
2023-06-22,18:45:30,24.5538,121.6723,59.33,4.87,99,9.9,36,0.28,0.2,0.1,F,325,B
2023-06-22,20:13:46,23.7378,122.0042,29.46,4.37,99,44.9,122,0.38,0.2,0.3,F,356,C
2023-06-24,10:52:57,24.6817,122.882,120.64,4.93,18,26.6,249,0.3,0.5,0.3,F,35,D
2023-06-28,9:25:10,22.8322,120.6658,19.81,4.06,99,10.1,21,0.39,0.1,0.1,F,277,B
2023-06-28,18:47:13,24.5257,122.9107,76.94,4.71,99,11.3,181,0.29,0.1,0.1,F,318,C
2023-06-29,14:40:46,24.7152,122.49,98.25,5.16,99,49.1,156,0.33,0.2,0.2,F,335,C
2023-06-29,21:14:15,23.9437,122.2987,21.74,4.12,99,19.7,134,0.32,0.2,0.2,F,248,C
2023-07-05,17:08:47,23.9967,121.5523,12.97,4.11,99,6.7,44,0.3,0.1,0.1,F,296,B
2023-07-06,18:03:56,23.134,121.1827,10.97,4.96,99,2.9,33,0.4,0.1,0.1,F,301,B
2023-07-06,18:21:26,23.4187,121.444,36.98,4.41,99,8.4,84,0.36,0.2,0.1,F,331,B
2023-07-08,7:05:23,25.0195,122.5123,156.77,4.12,99,52.2,239,0.42,0.7,0.4,F,199,D
2023-07-08,19:47:12,21.911,121.6023,23.14,5.49,99,10.2,199,0.37,0.6,0.2,F,237,D
2023-07-08,19:49:16,21.9185,121.5432,16.9,4.73,40,10.1,168,0.42,1.1,1.3,F,49,C
2023-07-08,19:49:52,21.8918,121.53,13.95,4.54,29,16.4,254,0.25,1.6,0.7,F,35,D
2023-07-08,20:26:31,21.8698,121.6117,20.22,4.47,70,14.9,136,0.42,0.2,0.2,F,79,C
2023-07-08,21:22:03,21.8738,121.6155,27.03,5.37,99,14.5,128,0.38,0.2,0.1,F,312,C
2023-07-08,21:30:51,21.8648,121.5645,2.82,4.1,25,19.1,189,0.4,1.1,1.8,F,33,D
2023-07-09,1:53:48,21.8807,121.632,20.27,4.52,99,14.3,139,0.54,0.2,0.2,F,193,D
2023-07-09,1:55:02,21.8447,121.5345,8.54,4.08,22,21.5,176,0.28,1.9,1.2,F,28,C
2023-07-09,2:56:40,21.8713,121.6607,18.96,4.04,60,16.5,153,0.53,0.3,0.3,F,69,D
2023-07-09,3:31:57,21.8707,121.6297,21.04,4.62,99,15.2,139,0.5,0.1,0.1,F,230,D
2023-07-09,5:27:53,21.8962,121.4293,10.53,4.31,77,19.7,112,0.34,0.3,0.6,F,92,C
